key,en,ru,de,fr,es,pt,pl,uk,zh,ja
ui.fld_icon,Cutiemark Path,Путь к метке,Cutiemark-Pfad,Chemin de la Cutiemark,Ruta de la Cutiemark,Caminho da Cutiemark,Ścieżka znaczka,Шлях до мітки,可爱标志路径,キューティーマークのパス
ui.lbl_ui_colors,UI Colors (Hex),Цвета UI (Hex),UI-Farben (Hex),Couleurs UI (Hex),Colores de UI (Hex),Cores da UI (Hex),Kolory UI (Hex),Кольори UI (Hex),UI 颜色 (Hex),UI カラー (Hex)
ui.lbl_konsole_colors,Konsole Colors (RGB),Цвета Konsole (RGB),Konsole-Farben (RGB),Couleurs Konsole (RGB),Colores de Konsole (RGB),Cores do Konsole (RGB),Kolory Konsole (RGB),Кольори Konsole (RGB),Konsole 颜色 (RGB),Konsole カラー (RGB)
ui.btn_delete,Delete,Удалить,Löschen,Supprimer,Eliminar,Excluir,Usuń,Видалити,删除,削除
ui.btn_cancel,Cancel,Отмена,Abbrechen,Annuler,Cancelar,Cancelar,Anuluj,Скасувати,取消,キャンセル
ui.btn_save,Save,Сохранить,Speichern,Enregistrer,Guardar,Salvar,Zapisz,Зберегти,保存,保存
ui.cp_title,Pick Color,Выбор цвета,Farbe wählen,Choisir la couleur,Elegir color,Escolher cor,Wybierz kolor,Вибір кольору,选择颜色,色を選択
ui.btn_apply,Apply,Применить,Anwenden,Appliquer,Aplicar,Aplicar,Zastosuj,Застосувати,应用,適用
ui.delete_title,Delete Theme?,Удалить тему?,Theme löschen?,Supprimer le thème ?,¿Eliminar tema?,Excluir tema?,Usunąć motyw?,Видалити тему?,删除主题？,テーマを削除しますか？
ui.delete_msg,Are you sure you want to delete '{0}'?,Вы уверены что хотите удалить '{0}'?,Sind Sie sicher dass Sie '{0}' löschen möchten?,Voulez-vous vraiment supprimer '{0}' ?,¿Seguro que quieres eliminar '{0}'?,Tem certeza que deseja excluir '{0}'?,Czy na pewno chcesz usunąć '{0}'?,Ви впевнені що хочете видалити '{0}'?,确定要删除 '{0}' 吗？,本当に '{0}' を削除しますか？
ui.btn_yes_delete,Yes Delete,Да удалить,Ja löschen,Oui supprimer,Sí eliminar,Sim excluir,Tak usuń,Так видалити,确认删除,はい削除します
ui.btn_open_folder,Open Folder,Открыть папку,Ordner öffnen,Ouvrir le dossier,Abrir carpeta,Abrir pasta,Otwórz folder,Відкрити папку,打开文件夹,フォルダーを開く
ui.btn_restore,Restore Defaults,Восстановить по умолчанию,Standard wiederherstellen,Restaurer par défaut,Restaurar predeterminados,Restaurar padrões,Przywróć domyślne,Відновити за замовчуванням,恢复默认,デフォルトに戻す
ui.active_preset,Active: {0},Активен: {0},Aktiv: {0},Actif : {0},Activo: {0},Ativo: {0},Aktywny: {0},Активний: {0},当前活动: {0},アクティブ: {0}
ui.panel_color,Panel color:,Цвет панели:,Panelfarbe:,Couleur du panneau :,Color del panel:,Cor do painel:,Kolor panelu:,Колір панелі:,面板颜色:,パネルカラー:
ui.opacity,Opacity:,Прозрачность:,Deckkraft:,Opacité :,Opacidad:,Opacidade:,Krycie:,Прозорість:,不透明度:,不透明度:
ui.btn_edit,Edit,Изменить,Bearbeiten,Éditer,Editar,Editar,Edytuj,Змінити,编辑,編集
ui.btn_new,New,Новый,Neu,Nouveau,Nuevo,Novo,Nowy,Новий,新建,新規
ui.btn_restore_all,Restore All,Сбросить всё,Alles zurücksetzen,Tout restaurer,Restaurar todo,Restaurar tudo,Przywróć wszystko,Відновити все,全部恢复,すべて復元
ui.btn_restore_default,Restore Default,По умолчанию,Standard,Par défaut,Por defecto,Padrão,Domyślny,За замовч.,恢复默认,デフォルト
ui.dark_text,🌙 Dark text,🌙 Тёмный текст,🌙 Dunkler Text,🌙 Texte sombre,🌙 Texto oscuro,🌙 Texto escuro,🌙 Ciemny tekst,🌙 Темний текст,🌙 深色文字,🌙 ダークテキスト
ui.light_text,☀️ Light text,☀️ Светлый текст,☀️ Heller Text,☀️ Texte clair,☀️ Texto claro,☀️ Texto claro,☀️ Jasny tekst,☀️ Світлий текст,☀️ 浅色文字,☀️ ライトテキスト
ui.ed_title_new,New Preset,Новый стиль,Neues Preset,Nouveau préréglage,Nuevo ajuste,Novo predefinição,Nowe ustawienie,Новий стиль,新建预设,新規プリセット
ui.ed_title_edit,Edit: {0},Изменить: {0},Bearbeiten: {0},Éditer : {0},Editar: {0},Editar: {0},Edytuj: {0},Змінити: {0},编辑: {0},編集: {0}
ui.ed_preset_id,Preset ID:,ID стиля:,Preset-ID:,ID de préréglage :,ID de ajuste:,ID do predefinição:,ID ustawień:,ID стилю:,预设 ID:,プリセット ID:
ui.ed_name_label,Display Name:,Имя:,Anzeigename:,Nom d'affichage :,Nombre:,Nome:,Nazwa:,Ім'я:,显示名称:,表示名:
ui.ed_color_label,Panel Color:,Цвет панели:,Panelfarbe:,Couleur du panneau :,Color del panel:,Cor do painel:,Kolor panelu:,Колір панелі:,面板颜色:,パネルカラー:
ui.ed_height_label,Panel Height:,Высота панели:,Panelhöhe:,Hauteur du panneau :,Altura del panel:,Altura do painel:,Wysokość panelu:,Висота панелі:,面板高度:,パネルの高さ:
ui.ed_opacity_label,Opacity:,Прозрачность:,Deckkraft:,Opacité :,Opacidad:,Opacidade:,Krycie:,Прозорість:,不透明度:,不透明度:
ui.ed_theme_label,Text Color:,Цвет текста:,Textfarbe:,Couleur du texte :,Color del texto:,Cor do texto:,Kolor tekstu:,Колір тексту:,文字颜色:,テキストカラー:
ui.ed_icon_label,Icon:,Иконка:,Symbol:,Icône :,Icono:,Ícone:,Ikona:,Іконка:,图标:,アイコン:
ui.ed_layout_label,Panel Layout:,Раскладка панелей:,Panel-Layout:,Disposition du panneau :,Diseño del panel:,Layout do painel:,Układ panelu:,Розмітка панелей:,面板布局:,パネルレイアウト:
ui.ed_capture_btn,📸 Capture current panels,📸 Снять текущие панели,📸 Aktuelle Panels erfassen,📸 Capturer les panneaux actuels,📸 Capturar paneles actuales,📸 Capturar painéis atuais,📸 Przechwyć aktualne panele,📸 Зняти поточні панелі,📸 捕获当前面板,📸 現在のパネルをキャプチャ
ui.ed_capture_none,Not captured (using default),Не снято (используется стандартный),Not captured (using default),Not captured (using default),Not captured (using default),Not captured (using default),Not captured (using default),Not captured (using default),Not captured (using default),Not captured (using default)
ui.ed_capture_done,Captured: {0},Снято: {0},Erfasst: {0},Capturé : {0},Capturado: {0},Capturado: {0},Przechwycono: {0},Знято: {0},已捕获: {0},キャプチャ済み: {0}
ui.restore_all_title,Restore All,Сбросить всё,Alles zurücksetzen,Tout restaurer,Restaurar todo,Restaurar tudo,Przywróć wszystko,Відновити все,全部恢复,すべて復元
ui.restore_all_msg,This will restore all presets to system defaults and remove any custom presets. Continue?,Это восстановит все стили до системных значений и удалит пользовательские. Продолжить?,Hierdurch werden alle Presets auf die Standardwerte zurückgesetzt. Fortfahren?,Cela restaurera tous les préréglages par défaut et supprimera les personnalisations. Continuer ?,Esto restaurará todos los ajustes predeterminados y eliminará los personalizados. ¿Continuar?,Isso vai restaurar todos os predefinições para os padrões e remover personalizados. Continuar?,Spowoduje to przywrócenie domyślnych ustawień i usunięcie niestandardowych. Kontynuować?,Це відновить усі стилі до системних значень і видалить користувацькі. Продовжити?,这将把所有预设恢复为系统默认值并删除自定义预设。继续？,すべてのプリセットをシステムのデフォルトに戻し、カスタムプリセットを削除します。続行しますか？
ui.err_empty_id,Preset ID cannot be empty.,ID стиля не может быть пустым.,Preset-ID darf nicht leer sein.,L'ID de préréglage ne peut pas être vide.,El ID de ajuste no puede estar vacío.,O ID do predefinição não pode estar vazio.,ID ustawień nie może być puste.,ID стилю не може бути порожнім.,预设 ID 不能为空。,プリセット ID を空にすることはできません。
ui.err_duplicate_id,Preset ID '{0}' already exists.,Стиль с ID '{0}' уже существует.,Preset-ID '{0}' ist bereits vorhanden.,L'ID de préréglage '{0}' existe déjà.,El ID de ajuste '{0}' ya existe.,O ID '{0}' já existe.,ID '{0}' już istnieje.,ID '{0}' вже існує.,预设 ID '{0}' 已存在。,プリセット ID '{0}' はすでに存在します。
ui.fullscreen_launcher,Fullscreen launcher,Полноэкранный лаунчер,Vollbild-Starter,Lanceur plein écran,Pantalla completa,Tela cheia,Pełny ekran,Повноекранний,全屏启动器,フルスクリーン
preset.sunset,Floating + Kickoff left,Плавающая + Kickoff слева,Floating + Kickoff left,Floating + Kickoff left,Floating + Kickoff left,Floating + Kickoff left,Floating + Kickoff left,Floating + Kickoff left,Floating + Kickoff left,Floating + Kickoff left
preset.twilight,Windows 10 classic,Win10 классика,Windows 10 classic,Windows 10 classic,Windows 10 classic,Windows 10 classic,Windows 10 classic,Windows 10 classic,Windows 10 classic,Windows 10 classic
preset.rainbow,Top bar only (GNOME-style),Только верх (GNOME),Top bar only (GNOME-style),Top bar only (GNOME-style),Top bar only (GNOME-style),Top bar only (GNOME-style),Top bar only (GNOME-style),Top bar only (GNOME-style),Top bar only (GNOME-style),Top bar only (GNOME-style)
preset.rarity,Top bar + floating dock,Топ-бар + плав. Dock,Top bar + floating dock,Top bar + floating dock,Top bar + floating dock,Top bar + floating dock,Top bar + floating dock,Top bar + floating dock,Top bar + floating dock,Top bar + floating dock
preset.applejack,Traditional (Cinnamon),Традиционная (Cinnamon),Traditional (Cinnamon),Traditional (Cinnamon),Traditional (Cinnamon),Traditional (Cinnamon),Traditional (Cinnamon),Traditional (Cinnamon),Traditional (Cinnamon),Traditional (Cinnamon)
preset.fluttershy,Minimal + auto-hide,Минимализм + автоскрытие,Minimal + auto-hide,Minimal + auto-hide,Minimal + auto-hide,Minimal + auto-hide,Minimal + auto-hide,Minimal + auto-hide,Minimal + auto-hide,Minimal + auto-hide
preset.pinkie,Widgets (system monitor),Виджеты (ресурсы),Widgets (system monitor),Widgets (system monitor),Widgets (system monitor),Widgets (system monitor),Widgets (system monitor),Widgets (system monitor),Widgets (system monitor),Widgets (system monitor)
