Key;En;Ru;De;Fr;Es;Pt;Pl;Uk;Zh;Ja
cat.gaming;🎮 Gaming & VR;🎮 Игры и VR;🎮 Gaming & VR;🎮 Jeux & VR;🎮 Juegos y VR;🎮 Jogos e VR;🎮 Gry i VR;🎮 Ігри та VR;🎮 游戏与VR;🎮 ゲームとVR
cat.media;🎵 Media & Audio;🎵 Медиа и Аудио;🎵 Medien & Audio;🎵 Média & Audio;🎵 Medios y Audio;🎵 Mídia e Áudio;🎵 Media i Audio;🎵 Медіа та Аудіо;🎵 媒体与音频;🎵 メディアとオーディオ
cat.office;📝 Office & Productivity;📝 Офис и Работа;📝 Büro & Produktivität;📝 Bureau & Productivité;📝 Oficina y Productividad;📝 Escritório e Produtividade;📝 Biuro i Produktywność;📝 Офіс та Робота;📝 办公与效率;📝 オフィスと生産性
cat.web;🌐 Web & Social;🌐 Интернет и Сети;🌐 Web & Soziales;🌐 Web & Social;🌐 Web y Social;🌐 Web e Social;🌐 Web i Sieci;🌐 Інтернет та Мережі;🌐 网络与社交;🌐 ウェブとソーシャル
cat.system;🛠️ System & Utilities;🛠️ Система и Утилиты;🛠️ System & Dienstprogramme;🛠️ Système & Utilitaires;🛠️ Sistema y Utilidades;🛠️ Sistema e Utilitários;🛠️ System i Narzędzia;🛠️ Система та Утиліти;🛠️ 系统与工具;🛠️ システムとユーティリティ
cat.hardware;⚙️ Hardware & Drivers;⚙️ Оборудование и Драйверы;⚙️ Hardware & Treiber;⚙️ Matériel & Pilotes;⚙️ Hardware y Controladores;⚙️ Hardware e Drivers;⚙️ Sprzęt i Sterowniki;⚙️ Обладнання та Драйвери;⚙️ 硬件与驱动;⚙️ ハードウェアとドライバー
desc.unityhub;Official Unity project and version manager;Официальный менеджер проектов и версий Unity;Offizieller Unity Projekt- und Versionsmanager;Gestionnaire officiel de projets et versions Unity;Gestor oficial de proyectos y versiones de Unity;Gerenciador oficial de projetos e versões do Unity;Oficjalny menedżer projektów i wersji Unity;Офіційний менеджер проєктів та версій Unity;官方Unity项目和版本管理器;公式Unityプロジェクトおよびバージョンマネージャー
desc.steampipe-gui;Steam Build Publishing Manager written by Psyche Games;Менеджер публикации билдов игры в Steam написанный в Psyche Games;Steam Build Publishing Manager, geschrieben von Psyche Games;Gestionnaire de publication de builds Steam écrit par Psyche Games;Gestor de publicación de builds de Steam escrito por Psyche Games;Gerenciador de publicação de builds do Steam escrito pela Psyche Games;Menedżer publikacji buildów Steam napisany przez Psyche Games;Менеджер публікації білдів Steam, написаний у Psyche Games;由 Psyche Games 编写的 Steam 构建发布管理器;Psyche Gamesによって作成されたSteamビルド公開マネージャー
desc.rider;Powerful cross-platform IDE for C# and Unity from JetBrains;Мощная кроссплатформенная IDE для C# и Unity от JetBrains;Leistungsstarke plattformübergreifende IDE für C# und Unity von JetBrains;Puissant IDE multiplateforme pour C# et Unity par JetBrains;Potente IDE multiplataforma para C# y Unity de JetBrains;Poderosa IDE multiplataforma para C# e Unity da JetBrains;Potężne wieloplatformowe IDE dla C# i Unity od JetBrains;Потужна кросплатформна IDE для C# та Unity від JetBrains;JetBrains强大的C#和Unity跨平台IDE;JetBrainsの強力なC#およびUnityクロスプラットフォームIDE
desc.code;Popular code editor from Microsoft;Популярный редактор кода от Microsoft;Beliebter Code-Editor von Microsoft;Éditeur de code populaire de Microsoft;Popular editor de código de Microsoft;Editor de código popular da Microsoft;Popularny edytor kodu od Microsoft;Популярний редактор коду від Microsoft;微软流行的代码编辑器;Microsoftの人気コードエディター
desc.godot;Free 2D and 3D game engine;Бесплатный 2D и 3D игровой движок;Kostenlose 2D- und 3D-Spiel-Engine;Moteur de jeu 2D et 3D gratuit;Motor de juegos 2D y 3D gratuito;Motor de jogos 2D e 3D gratuito;Darmowy silnik gier 2D i 3D;Безкоштовний 2D та 3D ігровий рушій;免费的2D和3D游戏引擎;無料の2Dおよび3Dゲームエンジン
desc.gitnuro;A free and modern graphical client for Git;Бесплатный и современный графический клиент для Git;Ein kostenloser und moderner grafischer Client für Git;Un client graphique gratuit et moderne pour Git;Un cliente gráfico gratuito y moderno para Git;Um cliente gráfico gratuito e moderno para Git;Darmowy i nowoczesny klient graficzny dla Git;Безкоштовний та сучасний графічний клієнт для Git;免费的现代Git图形客户端;無料でモダンなGit用グラフィカルクライアント
desc.opensourcetree;SourceTree-inspired Git GUI built with PyQt6;Git-клиент на PyQt6, вдохновлённый SourceTree;Ein SourceTree-inspirierter Git-Client auf PyQt6-Basis;Un client Git PyQt6 inspiré de SourceTree;Un cliente Git PyQt6 inspirado en SourceTree;Um cliente Git PyQt6 inspirado no SourceTree;Klient Git PyQt6 inspirowany SourceTree;Git-клієнт на PyQt6, натхнений SourceTree;受 SourceTree 启发、基于 PyQt6 的 Git 客户端;SourceTree にインスパイアされた PyQt6 製 Git クライアント
desc.krita;Professional tool for digital painting;Профессиональный инструмент для цифрового рисования;Professionelles Werkzeug für digitales Malen;Outil professionnel pour la peinture numérique;Herramienta profesional para pintura digital;Ferramenta profissional para pintura digital;Profesjonalne narzędzie do malowania cyfrowego;Професійний інструмент для цифрового малювання;专业的数字绘画工具;デジタルペイント用のプロフェッショナルツール
desc.blender;A complete package for 3D modeling and animation;Полный пакет для 3D-моделирования и анимации;Ein komplettes Paket für 3D-Modellierung und Animation;Un package complet pour la modélisation et l'animation 3D;Un paquete completo para modelado y animación 3D;Um pacote completo para modelagem e animação 3D;Kompletny pakiet do modelowania 3D i animacji;Повний пакет для 3D-моделювання та анімації;完整的3D建模和动画套件;3Dモデリングとアニメーションの完全パッケージ
desc.gimp;A powerful raster graphics editor (similar to Photoshop);Мощный растровый графический редактор (аналог Photoshop);Ein leistungsstarker Rastergrafik-Editor (ähnlich wie Photoshop);Un puissant éditeur de graphiques vectoriels (similaire à Photoshop);Un potente editor de gráficos rasterizados (similar a Photoshop);Um poderoso editor de gráficos raster (semelhante ao Photoshop);Potężny edytor grafiki rastrowej (podobnie jak Photoshop);Потужний растровий графічний редактор (аналог Photoshop);强大的光栅图形编辑器（类似Photoshop）;強力なラスターグラフィックエディター（Photoshopに類似）
desc.imagefinish;A Photoshop-inspired image editor for Linux;Графический редактор в стиле Photoshop для Linux;Ein Photoshop-inspirierter Bildeditor für Linux;Un éditeur d'images inspiré de Photoshop pour Linux;Un editor de imágenes inspirado en Photoshop para Linux;Um editor de imagens inspirado no Photoshop para Linux;Edytor obrazów inspirowany Photoshopem dla Linuksa;Графічний редактор у стилі Photoshop для Linux;适用于 Linux 的 Photoshop 风格图像编辑器;Linux向けPhotoshopインスパイアの画像エディター
desc.inkscape;Professional vector graphics editor;Профессиональный векторный графический редактор;Professioneller Vektorgrafik-Editor;Éditeur professionnel de graphiques vectoriels;Editor profesional de gráficos vectoriales;Editor profissional de gráficos vetoriais;Profesjonalny edytor grafiki wektorowej;Професійний векторний графічний редактор;专业的矢量图形编辑器;プロフェッショナルなベクターグラフィックエディター
desc.steam;The largest game store and Valve platform;Крупнейший магазин игр и платформа Valve;Der größte Spiele-Shop und Valve-Plattform;La plus grande boutique de jeux et plateforme Valve;La tienda de juegos más grande y plataforma de Valve;A maior loja de jogos e plataforma da Valve;Największy sklep z grami i platforma Valve;Найбільший магазин ігор та платформа Valve;最大的游戏商店和Valve平台;最大のゲームストアおよびValveプラットフォーム
desc.steamvr;The virtual reality platform from Valve;Платформа виртуальной реальности от Valve;Die Virtual-Reality-Plattform von Valve;La plateforme de réalité virtuelle de Valve;La plataforma de realidad virtual de Valve;A plataforma de realidade virtual da Valve;Platforma wirtualnej rzeczywistości od Valve;Платформа віртуальної реальності від Valve;Valve的虚拟现实平台;Valveの仮想現実プラットフォーム
desc.sidequest;VR game store and download tool (Oculus Quest);Магазин VR-игр и инструмент загрузки (Oculus Quest);VR-Spiele-Shop und Download-Tool (Oculus Quest);Boutique de jeux VR et outil de téléchargement (Oculus Quest);Tienda de juegos VR y herramienta de descarga (Oculus Quest);Loja de jogos VR e ferramenta de download (Oculus Quest);Sklep z grami VR i narzędzie do pobierania (Oculus Quest);Магазин VR-ігор та інструмент завантаження (Oculus Quest);VR游戏商店和下载工具（Oculus Quest）;VRゲームストアおよびダウンロードツール（Oculus Quest）
desc.lutris;The ultimate Windows game manager;Универсальный менеджер Windows-игр;Der ultimative Windows-Spiele-Manager;L'ultime gestionnaire de jeux Windows;El mejor gestor de juegos de Windows;O melhor gerenciador de jogos do Windows;Ostateczny menedżer gier Windows;Універсальний менеджер Windows-ігор;终极Windows游戏管理器;究極のWindowsゲームマネージャー
desc.protonup;Installer Custom Proton (GE) versions for gaming;Установщик кастомных версий Proton (GE) для игр;Installer für benutzerdefinierte Proton (GE) Versionen für Spiele;Installateur de versions personnalisées de Proton (GE) pour les jeux;Instalador de versiones personalizadas de Proton (GE) para juegos;Instalador de versões personalizadas do Proton (GE) para jogos;Instalator niestandardowych wersji Proton (GE) do gier;Інсталятор кастомних версій Proton (GE) для ігор;游戏自定义Proton（GE）版本安装程序;ゲーム用カスタムProton（GE）バージョンインストーラー
desc.audacity;Advanced cross-platform audio editor;Продвинутый кроссплатформенный аудиоредактор;Erweiterter plattformübergreifender Audio-Editor;Éditeur audio multiplateforme avancé;Editor de audio multiplataforma avanzado;Editor de áudio multiplataforma avançado;Zaawansowany wieloplatformowy edytor audio;Просунутий кросплатформний аудіоредактор;高级跨平台音频编辑器;高度なクロスプラットフォームオーディオエディター
desc.haruna;Fast and modern video player for KDE;Быстрый и современный видеоплеер для KDE;Schneller und moderner Videoplayer für KDE;Lecteur vidéo rapide et moderne pour KDE;Reproductor de video rápido y moderno para KDE;Reprodutor de vídeo rápido e moderno para KDE;Szybki i nowoczesny odtwarzacz wideo dla KDE;Швидкий та сучасний відеоплеєр для KDE;KDE的快速现代视频播放器;KDE用の高速でモダンなビデオプレーヤー
desc.vlc;Omnivorous media player with built-in codecs;Всеядный медиаплеер со встроенными кодеками;Allesfressender Mediaplayer mit integrierten Codecs;Lecteur multimédia omnivore avec codecs intégrés;Reproductor multimedia omnívoro con códecs integrados;Reprodutor de mídia onívoro com codecs integrados;Wszystkożerny odtwarzacz multimedialny z wbudowanymi kodekami;Всеїдний медіаплеєр із вбудованими кодеками;内置编解码器的全能媒体播放器;内蔵コーデックを備えた万能メディアプレーヤー
desc.obs;The industry standard for video recording and streaming;Отраслевой стандарт для записи видео и стриминга;Der Industriestandard für Videoaufzeichnung und Streaming;La norme de l'industrie pour l'enregistrement vidéo et le streaming;El estándar de la industria para grabación de video y streaming;O padrão da indústria para gravação de vídeo e streaming;Standard branżowy do nagrywania wideo i przesyłania strumieniowego;Галузевий стандарт для запису відео та стрімінгу;视频录制和流媒体的行业标准;ビデオ録画とストリーミングの業界標準
desc.libreoffice;Powerful free office suite (fresh version);Мощный бесплатный офисный пакет (свежая версия);Leistungsstarke kostenlose Office-Suite (frische Version);Puissante suite bureautique gratuite (version récente);Potente suite ofimática gratuita (versión fresca);Poderosa suíte de escritório gratuita (versão mais recente);Potężny darmowy pakiet biurowy (świeża wersja);Потужний безкоштовний офісний пакет (свіжа версія);强大的免费办公套件（最新版本）;強力な無料オフィススイート（最新バージョン）
desc.okular;Universal PDF and document viewer from KDE;Универсальный просмотрщик PDF и документов от KDE;Universeller PDF- und Dokumentenbetrachter von KDE;Visionneuse universelle de PDF et de documents par KDE;Visor universal de PDF y documentos de KDE;Visualizador universal de PDF e documentos do KDE;Uniwersalna przeglądarka plików PDF i dokumentów od KDE;Універсальний переглядач PDF та документів від KDE;KDE的通用PDF和文档查看器;KDEのユニバーサルPDFおよびドキュメントビューアー
desc.firefox;Free and secure web browser;Свободный и безопасный веб-браузер;Kostenloser und sicherer Webbrowser;Navigateur web gratuit et sécurisé;Navegador web gratuito y seguro;Navegador web gratuito e seguro;Darmowa i bezpieczna przeglądarka internetowa;Вільний та безпечний веб-браузер;免费安全的网页浏览器;無料で安全なウェブブラウザー
desc.opera;Free and secure web browser;Свободный и безопасный веб-браузер;Kostenloser und sicherer Webbrowser;Navigateur web gratuit et sécurisé;Navegador web gratuito y seguro;Navegador web gratuito e seguro;Darmowa i bezpieczna przeglądarka internetowa;Вільний та безпечний веб-браузер;免费安全的网页浏览器;無料で安全なウェブブラウザー
desc.opera-gx;Free and secure web browser;Свободный и безопасный веб-браузер;Kostenloser und sicherer Webbrowser;Navigateur web gratuit et sécurisé;Navegador web gratuito y seguro;Navegador web gratuito e seguro;Darmowa i bezpieczna przeglądarka internetowa;Вільний та безпечний веб-браузер;免费安全的网页浏览器;無料で安全なウェブブラウザー
desc.telegram;Official Telegram client for PC;Официальный клиент Telegram для ПК;Offizieller Telegram-Client für den PC;Client Telegram officiel pour PC;Cliente oficial de Telegram para PC;Cliente oficial do Telegram para PC;Oficjalny klient Telegram na PC;Офіційний клієнт Telegram для ПК;官方PC版Telegram客户端;PC用公式Telegramクライアント
desc.discord;Voice and text chat for gamers;Голосовой и текстовый чат для геймеров;Sprach- und Text-Chat für Gamer;Chat vocal et textuel pour les joueurs;Chat de voz y texto para jugadores;Chat de voz e texto para jogadores;Czat głosowy i tekstowy dla graczy;Голосовий та текстовий чат для геймерів;游戏玩家的语音和文本聊天;ゲーマー向けの音声およびテキストチャット
desc.qbittorrent;Lightweight and powerful torrent client without ads;Легкий и мощный торрент-клиент без рекламы;Leichter und leistungsstarker Torrent-Client ohne Werbung;Client torrent léger et puissant sans publicité;Cliente torrent ligero y potente sin anuncios;Cliente torrent leve e poderoso sem anúncios;Lekki i potężny klient torrent bez reklam;Легкий та потужний торрент-клієнт без реклами;轻量级且强大的无广告BT客户端;広告なしの軽量で強力なトレントクライアント
desc.flatpak;A container system for installing isolated applications;Система контейнеров для установки изолированных приложений;Ein Containersystem zur Installation isolierter Anwendungen;Un système de conteneurs pour installer des applications isolées;Un sistema de contenedores para instalar aplicaciones aisladas;Um sistema de contêineres para instalar aplicativos isolados;System kontenerów do instalowania izolowanych aplikacji;Система контейнерів для встановлення ізольованих програм;用于安装隔离应用程序的容器系统;分離されたアプリケーションをインストールするためのコンテナーシステム
desc.gparted;Hard disk partition manager;Менеджер разделов жесткого диска;Festplatten-Partitionsmanager;Gestionnaire de partitions de disque dur;Gestor de particiones de disco duro;Gerenciador de partições de disco rígido;Menedżer partycji dysku twardego;Менеджер розділів жорсткого диска;硬盘分区管理器;ハードディスクパーティションマネージャー
desc.bitwarden;A secure password manager;Надежный менеджер паролей;Ein sicherer Passwort-Manager;Un gestionnaire de mots de passe sécurisé;Un gestor de contraseñas seguro;Um gerenciador de senhas seguro;Bezpieczny menedżer haseł;Надійний менеджер паролів;安全的密码管理器;安全なパスワードマネージャー
desc.nvidia;Official NVIDIA DKMS drivers for optimal gaming performance and hardware acceleration;Официальные драйверы NVIDIA DKMS для оптимальной производительности в играх и аппаратного ускорения;Offizielle NVIDIA DKMS-Treiber für optimale Spieleleistung und Hardwarebeschleunigung;Pilotes officiels NVIDIA DKMS pour des performances de jeu optimales et une accélération matérielle;Controladores oficiales NVIDIA DKMS para un rendimiento de juego óptimo y aceleración de hardware;Drivers oficiais NVIDIA DKMS para desempenho ideal em jogos e aceleração de hardware;Oficjalne sterowniki NVIDIA DKMS dla optymalnej wydajności w grach i akceleracji sprzętowej;Офіційні драйвери NVIDIA DKMS для оптимальної продуктивності в іграх та апаратного прискорення;用于优化游戏性能和硬件加速的官方NVIDIA DKMS驱动程序;最適なゲームパフォーマンスとハードウェアアクセラレーションのための公式NVIDIA DKMSドライバー
desc.nvidia_utils;Essential NVIDIA utilities and 32-bit libraries required for Steam and Wine compatibility;Необходимые утилиты NVIDIA и 32-битные библиотеки для совместимости со Steam и Wine;Wesentliche NVIDIA-Dienstprogramme und 32-Bit-Bibliotheken, die für die Steam- und Wine-Kompatibilität erforderlich sind;Utilitaires essentiels NVIDIA et bibliothèques 32 bits requis pour la compatibilité Steam et Wine;Utilidades esenciales de NVIDIA y bibliotecas de 32 bits requeridas para compatibilidad con Steam y Wine;Utilitários essenciais da NVIDIA e bibliotecas de 32 bits necessárias para compatibilidade com Steam e Wine;Niezbędne narzędzia NVIDIA i biblioteki 32-bitowe wymagane do zgodności ze Steam i Wine;Необхідні утиліти NVIDIA та 32-бітні бібліотеки для сумісності зі Steam та Wine;Steam和Wine兼容性所必需的NVIDIA实用程序和32位库;SteamおよびWineの互換性に必要な必須NVIDIAユーティリティおよび32ビットライブラリ
desc.nvidia_set;Graphical tool for configuring the NVIDIA display driver and monitors;Графическая утилита для настройки драйвера дисплея NVIDIA и мониторов;Grafisches Werkzeug zur Konfiguration des NVIDIA-Anzeigetreibers und der Monitore;Outil graphique pour configurer le pilote d'affichage NVIDIA et les moniteurs;Herramienta gráfica para configurar el controlador de pantalla NVIDIA y monitores;Ferramenta gráfica para configurar o driver de vídeo NVIDIA e monitores;Narzędzie graficzne do konfigurowania sterownika ekranu NVIDIA i monitorów;Графічна утиліта для налаштування драйвера дисплея NVIDIA та моніторів;用于配置NVIDIA显示驱动程序和显示器的图形工具;NVIDIAディスプレイドライバーおよびモニターを設定するためのグラフィカルツール
desc.asusctl;Core daemon for ASUS ROG/TUF laptops (fan curves, keyboard LEDs, battery charge limits);Базовый демон для ноутбуков ASUS ROG/TUF (кривые кулеров, подсветка, лимиты заряда);Core-Daemon für ASUS ROG/TUF Laptops (Lüfterkurven, Tastatur-LEDs, Akkuladelimits);Démon principal pour ordinateurs portables ASUS ROG/TUF (courbes des ventilateurs, LED du clavier, limites de charge de la batterie);Demonio central para laptops ASUS ROG/TUF (curvas de ventilador, LEDs de teclado, límites de carga de batería);Daemon central para laptops ASUS ROG/TUF (curvas de ventoinha, LEDs de teclado, limites de carga da bateria);Główny demon dla laptopów ASUS ROG/TUF (krzywe wentylatora, diody LED klawiatury, limity ładowania baterii);Базовий демон для ноутбуків ASUS ROG/TUF (криві кулерів, підсвічування, ліміти заряду);ASUS ROG/TUF笔记本电脑的核心守护程序（风扇曲线、键盘LED、电池充电限制）;ASUS ROG/TUFノートパソコン用のコアデーモン（ファンカーブ、キーボードLED、バッテリー充電制限）
desc.supergfx;GPU switching utility for ASUS Optimus laptops (Hybrid / Dedicated / Integrated modes);Утилита переключения GPU для ноутбуков ASUS Optimus (Гибридный / Дискретный / Встроенный);GPU-Umschaltwerkzeug für ASUS Optimus-Laptops (Hybrid- / Dedizierter / Integrierter Modus);Utilitaire de commutation GPU pour les ordinateurs portables ASUS Optimus (modes hybride / dédié / intégré);Utilidad de conmutación de GPU para laptops ASUS Optimus (modos híbrido / dedicado / integrado);Utilitário de comutação de GPU para laptops ASUS Optimus (modos Híbrido / Dedicado / Integrado);Narzędzie do przełączania GPU dla laptopów ASUS Optimus (tryby hybrydowy / dedykowany / zinteintegrated);Утиліта перемикання GPU для ноутбуків ASUS Optimus (Гібридний / Дискретний / Вбудований);适用于ASUS Optimus笔记本电脑的GPU切换实用程序（混合/独立/集成模式）;ASUS Optimusノートパソコン用GPU切り替えユーティリティ（ハイブリッド/専用/統合モード）
desc.rog;Graphical interface for managing ASUS laptop features via asusctl and supergfxctl;Графический интерфейс для управления функциями ноутбуков ASUS через asusctl и supergfxctl;Grafische Schnittstelle zur Verwaltung von ASUS-Laptop-Funktionen über asusctl und supergfxctl;Interface graphique pour gérer les fonctionnalités de l'ordinateur portable ASUS via asusctl et supergfxctl;Interfaz gráfica para gestionar las funciones de las laptops ASUS a través de asusctl y supergfxctl;Interface gráfica para gerenciar recursos do laptop ASUS via asusctl e supergfxctl;Interfejs graficzny do zarządzania funkcjami laptopów ASUS za pośrednictwem asusctl i supergfxctl;Графічний інтерфейс для керування функціями ноутбуків ASUS через asusctl і supergfxctl;通过asusctl和supergfxctl管理ASUS笔记本电脑功能的图形界面;asusctlおよびsupergfxctlを介してASUSノートパソコンの機能を管理するためのグラフィカルインターフェース
desc.intel_ucode;Microcode update files for Intel CPUs to ensure system stability and security;Файлы обновления микрокода для процессоров Intel (стабильность и безопасность);Microcode-Update-Dateien für Intel-CPUs zur Gewährleistung der Systemstabilität und -sicherheit;Fichiers de mise à jour du microcode pour les processeurs Intel afin d'assurer la stabilité et la sécurité du système;Archivos de actualización de microcódigo para CPUs Intel para garantizar la estabilidad y seguridad del sistema;Arquivos de atualização de microcódigo para CPUs Intel para garantir estabilidade e segurança do sistema;Pliki aktualizacji mikrokodu dla procesorów Intel w celu zapewnienia stabilności i bezpieczeństwa systemu;Файли оновлення мікрокоду для процесорів Intel (стабільність та безпека);用于Intel CPU的微代码更新文件，以确保系统稳定性和安全性;システムの安定性とセキュリティを確保するためのIntel CPU用マイクロコードアップデートファイル
desc.amd_ucode;Microcode update files for AMD CPUs to ensure system stability and security;Файлы обновления микрокода для процессоров AMD (стабильность и безопасность);Microcode-Update-Dateien für AMD-CPUs zur Gewährleistung der Systemstabilität und -sicherheit;Fichiers de mise à jour du microcode pour les processeurs AMD afin d'assurer la stabilité et la sécurité du système;Archivos de actualización de microcódigo para CPUs AMD para garantizar la estabilidad y seguridad del sistema;Arquivos de atualização de microcódigo para CPUs AMD para garantir estabilidade e segurança do sistema;Pliki aktualizacji mikrokodu dla procesorów AMD w celu zapewnienia stabilności i bezpieczeństwa systemu;Файли оновлення мікрокоду для процесорів AMD (стабільність та безпека);用于AMD CPU的微代码更新文件，以确保系统稳定性和安全性;システムの安定性とセキュリティを確保するためのAMD CPU用マイクロコードアップデートファイル
desc.bluez;Official Linux Bluetooth protocol stack and command-line utilities;Официальный стек протоколов Bluetooth для Linux и утилиты;Offizieller Linux Bluetooth Protokoll-Stack und Kommandozeilen-Dienstprogramme;Pile de protocoles Bluetooth officielle de Linux et utilitaires en ligne de commande;Pila oficial de protocolos Bluetooth de Linux y utilidades de línea de comandos;Pilha de protocolos Bluetooth oficial do Linux e utilitários de linha de comando;Oficjalny stos protokołów Bluetooth dla Linuksa i narzędzia wiersza poleceń;Офіційний стек протоколів Bluetooth для Linux та утиліти;官方Linux蓝牙协议栈和命令行实用程序;公式Linux Bluetoothプロトコルスタックおよびコマンドラインユーティリティ
desc.cups;Standards-based, open source printing system and virtual PDF printer;Стандартная система печати и виртуальный PDF-принтер;Auf Standards basierendes Open-Source-Drucksystem und virtueller PDF-Drucker;Système d'impression open source basé sur des normes et imprimante PDF virtuelle;Sistema de impresión de código abierto basado en estándares e impresora PDF virtual;Sistema de impressão de código aberto baseado em padrões e impressora PDF virtual;Oparty na standardach system drukowania open source i wirtualna drukarka PDF;Стандартна система друку та віртуальний PDF-принтер;基于标准的开源打印系统和虚拟PDF打印机;標準ベースのオープンソース印刷システムおよび仮想PDFプリンター
desc.xpadneo;Advanced Linux driver for Xbox One wireless gaming controllers (Bluetooth);Продвинутый Linux-драйвер для беспроводных геймпадов Xbox One (Bluetooth);Erweiterter Linux-Treiber für kabellose Xbox One Gaming-Controller (Bluetooth);Pilote Linux avancé pour les manettes de jeu sans fil Xbox One (Bluetooth);Controlador avanzado de Linux para mandos de juego inalámbricos Xbox One (Bluetooth);Driver Linux avançado para controles de jogos sem fio do Xbox One (Bluetooth);Zaawansowany sterownik Linux dla bezprzewodowych kontrolerów do gier Xbox One (Bluetooth);Просунутий Linux-драйвер для бездротових геймпадів Xbox One (Bluetooth);适用于Xbox One无线游戏控制器（蓝牙）的高级Linux驱动程序;Xbox Oneワイヤレスゲームコントローラー（Bluetooth）用の高度なLinuxドライバー
desc.hplip;Hewlett-Packard Linux Imaging and Printing - official drivers for HP printers and scanners;Официальные драйверы для принтеров и сканеров Hewlett-Packard;Hewlett-Packard Linux Imaging and Printing - offizielle Treiber für HP-Drucker und -Scanner;Hewlett-Packard Linux Imaging and Printing - pilotes officiels pour imprimantes et scanners HP;Hewlett-Packard Linux Imaging and Printing - controladores oficiales para impresoras y escáneres HP;Hewlett-Packard Linux Imaging and Printing - drivers oficiais para impressoras e scanners HP;Hewlett-Packard Linux Imaging and Printing - oficjalne sterowniki do drukarek i skanerów HP;Офіційні драйвери для принтерів та сканерів Hewlett-Packard;惠普Linux成像和打印 - HP打印机和扫描仪的官方驱动程序;Hewlett-Packard Linux Imaging and Printing - HPプリンターおよびスキャナーの公式ドライバー
desc.sane;Universal drivers for flatbed scanners and modern network/Wi-Fi scanners (Apple AirPrint/Mopria);Универсальные драйверы для планшетных и сетевых/Wi-Fi сканеров;Universelle Treiber für Flachbettscanner und moderne Netzwerk-/Wi-Fi-Scanner;Pilotes universels pour scanners à plat et scanners réseau/Wi-Fi modernes;Controladores universales para escáneres de cama plana y escáneres modernos de red/Wi-Fi;Drivers universais para scanners de mesa e modernos scanners de rede/Wi-Fi;Uniwersalne sterowniki dla skanerów płaskich i nowoczesnych skanerów sieciowych/Wi-Fi;Універсальні драйвери для планшетних та мережевих/Wi-Fi сканерів;用于平板扫描仪和现代网络/Wi-Fi扫描仪的通用驱动程序;フラットベッドスキャナーおよび最新のネットワーク/Wi-Fiスキャナー用のユニバーサルドライバー
