key,en,ru,de,fr,es,pt,pl,uk,zh,ja
proton.msg_empty_text,No prefix has been created for this program yet.,Префикс для этой программы еще не создавался.,Für dieses Programm wurde noch kein Präfix erstellt.,Aucun préfixe n'a encore été créé pour ce programme.,Aún no se ha creado ningún prefijo para este programa.,Nenhum prefixo foi criado para este programa ainda.,Nie utworzono jeszcze prefiksu dla tego programu.,Префікс для цієї програми ще не створювався.,尚未为此程序创建前缀。,このプログラムのプレフィックスはまだ作成されていません。
proton.msg_delete_title,Delete Data,Удаление данных,Daten löschen,Supprimer les données,Eliminar datos,Excluir Dados,Usuń dane,Видалення даних,删除数据,データを削除
proton.msg_delete_text,"Are you sure you want to delete all cache and saves for '{0}'?\nThis action cannot be undone.","Вы уверены, что хотите удалить весь кэш и сохранения для '{0}'?\nЭто действие нельзя отменить.","Möchten Sie wirklich alle Caches und Speicherstände für '{0}' löschen?\nDies kann nicht rückgängig gemacht werden.","Voulez-vous vraiment supprimer tout le cache et les sauvegardes pour '{0}' ?\nCette action est irréversible.","¿Seguro que quieres eliminar toda la caché y guardados de '{0}'?\nEsta acción no se puede deshacer.","Tem certeza que deseja excluir todo o cache e saves de '{0}'?\nEsta ação não pode ser desfeita.","Czy na pewno chcesz usunąć całą pamięć podręczną i zapisy dla '{0}'?\nTego działania nie można cofnąć.","Ви впевнені, що хочете видалити весь кеш та збереження для '{0}'?\nЦю дію неможливо скасувати.","确定要删除 '{0}' 的所有缓存和存档吗？\n此操作无法撤销。","'{0}' のすべてのキャッシュとセーブデータを削除してもよろしいですか？\nこの操作は元に戻せません。"
proton.msg_success_title,Success,Успешно,Erfolg,Succès,Éxito,Sucesso,Sukces,Успішно,成功,成功
proton.msg_success_text,App cache successfully deleted. It will be recreated on next launch.,Кэш программы успешно удален. При следующем запуске он будет создан заново.,App-Cache erfolgreich gelöscht. Er wird beim nächsten Start neu erstellt.,Cache de l'application supprimé. Il sera recréé au prochain lancement.,Caché de la aplicación eliminada. Se volverá a crear en el próximo inicio.,Cache do aplicativo excluído. Será recriado no próximo lançamento.,Pamięć podręczna aplikacji usunięta. Zostanie odtworzona przy następnym uruchomieniu.,Кеш програми успішно видалено. Він буде створений заново під час наступного запуску.,应用缓存已成功删除。它将在下次启动时重新创建。,アプリのキャッシュが正常に削除されました。次回の起動時に再作成されます。
proton.msg_error_title,Error,Ошибка,Fehler,Erreur,Error,Erro,Błąd,Помилка,错误,エラー
proton.msg_error_text,"Failed to delete files:\n{0}","Не удалось удалить файлы:\n{0}","Dateien konnten nicht gelöscht werden:\n{0}","Échec de la suppression des fichiers :\n{0}","Error al eliminar archivos:\n{0}","Falha ao excluir arquivos:\n{0}","Nie udało się usunąć plików:\n{0}","Не вдалося видалити файли:\n{0}","无法删除文件：\n{0}","ファイルの削除に失敗しました:\n{0}"
proton.group_proton,Proton Engine,Движок Proton,Proton-Engine,Moteur Proton,Motor Proton,Motor Proton,Silnik Proton,Двигун Proton,Proton 引擎,Proton エンジン
proton.lbl_version,Installed: {0},Установлен: {0},Installiert: {0},Installé : {0},Instalado: {0},Instalado: {0},Zainstalowany: {0},Встановлено: {0},已安装：{0},インストール済み: {0}
proton.lbl_version_none,Not installed,Не установлен,Nicht installiert,Non installé,No instalado,Não instalado,Nie zainstalowany,Не встановлено,未安装,未インストール
proton.btn_update,Update,Обновить,Aktualisieren,Mettre à jour,Actualizar,Atualizar,Zaktualizuj,Оновити,更新,更新
proton.update_dialog_title,Update Proton Engine,Обновление движка Proton,Proton-Engine aktualisieren,Mise à jour du moteur Proton,Actualizar motor Proton,Atualizar motor Proton,Aktualizacja silnika Proton,Оновлення двигуна Proton,更新 Proton 引擎,Proton エンジンを更新
proton.update_checking,Checking for updates…,Проверка обновлений…,Auf Updates prüfen…,Vérification des mises à jour…,Comprobando actualizaciones…,Verificando atualizações…,Sprawdzanie aktualizacji…,Перевірка оновлень…,正在检查更新…,アップデートを確認中…
proton.update_up_to_date,Up to date: {0},Актуальная версия: {0},Aktuell: {0},À jour : {0},Actualizado: {0},Atualizado: {0},Aktualne: {0},Актуальна версія: {0},已是最新版本：{0},最新です: {0}
proton.update_available,"New version: {0}\nInstalled: {1}","Новая версия: {0}\nУстановлена: {1}","Neue Version: {0}\nInstalliert: {1}","Nouvelle version : {0}\nInstallée : {1}","Nueva versión: {0}\nInstalada: {1}","Nova versão: {0}\nInstalada: {1}","Nowa wersja: {0}\nZainstalowana: {1}","Нова версія: {0}\nВстановлена: {1}","新版本：{0}\n已安装：{1}","新バージョン: {0}\nインストール済み: {1}"
proton.update_error,Could not check for updates.,Не удалось проверить наличие обновлений.,Updates konnten nicht geprüft werden.,Impossible de vérifier les mises à jour.,No se pudo comprobar actualizaciones.,Não foi possível verificar atualizações.,Nie można sprawdzić aktualizacji.,Не вдалося перевірити наявність оновлень.,无法检查更新。,アップデートを確認できませんでした。
proton.update_btn_install,Download & Install,Скачать и установить,Herunterladen & Installieren,Télécharger et installer,Descargar e instalar,Baixar e instalar,Pobierz i zainstaluj,Завантажити і встановити,下载并安装,ダウンロードしてインストール
proton.update_success,Proton updated successfully.,Proton успешно обновлён.,Proton erfolgreich aktualisiert.,Proton mis à jour avec succès.,Proton actualizado correctamente.,Proton atualizado com sucesso.,Proton zaktualizowany pomyślnie.,Proton успішно оновлено.,Proton 已成功更新。,Proton が正常に更新されました。
